"","user_id","consent","age","gender","year_study","data_check","GSL_mean","Intrinsic_mean","STARS_mean","PASS_sum","pass_1","pass_2","pass_3","pass_4","pass_5","pass_6"
"1",98468,1,18,0,1,1,3.8,4.25,3,16,3,3,4,1,2,3
"2",98469,1,18,0,1,1,5.4,4.5,3.125,18,4,3,5,1,2,3
"3",98471,1,18,1,1,1,3.4,4.5,4.75,15,4,3,3,1,1,3
"4",98474,1,18,1,1,1,3.4,4.5,3.375,22,5,4,5,2,3,3
"5",98488,1,18,1,1,1,2.6,4.5,3.625,23,5,5,5,2,3,3
"6",98489,1,18,1,1,1,3.8,6,3.75,24,5,2,5,4,4,4
"7",98502,1,32,1,1,1,2.2,3.75,3.875,20,4,4,5,2,2,3
"8",98504,1,18,0,1,1,5.4,6.75,3.25,15,3,3,4,2,1,2
"9",98514,1,18,0,1,1,3.2,3.25,3.375,19,4,4,5,2,1,3
"10",98515,1,18,1,1,1,4.6,6,4.375,14,3,2,2,1,2,4
"11",98517,1,18,1,1,1,4.8,6,3.625,22,4,3,5,1,5,4
"12",98522,1,18,0,1,1,2.8,4.75,3.75,27,5,4,5,5,3,5
"13",98527,1,19,0,2,1,3.2,5,3.75,21,4,3,3,2,5,4
"14",98537,1,18,2,1,1,5,5.75,5,18,4,4,5,1,1,3
"15",98551,1,18,2,1,1,2.4,3,3.75,21,3,4,5,3,3,3
"16",98554,1,17,1,1,1,5,4.75,2.75,13,2,1,3,3,1,3
"17",98560,1,44,1,1,1,4.2,4.25,3.875,18,3,4,5,2,1,3
"18",98577,1,18,1,1,1,2.8,4.5,5,18,2,3,4,2,3,4
"19",98591,1,18,1,1,1,3.4,4.75,3.125,21,5,5,3,2,3,3
"20",98597,1,28,1,1,1,3,2.5,1.875,19,1,2,3,5,5,3
"21",98609,1,19,1,1,1,4,3.75,3.875,15,4,2,3,1,2,3
"22",98616,1,17,1,1,1,6.8,6.75,3,10,2,1,1,1,3,2
"23",98635,1,18,0,1,1,3.2,4.5,2,16,4,4,3,2,1,2
"24",98664,1,17,1,1,1,4.2,4.5,3.625,17,4,3,5,1,1,3
"25",98751,1,17,0,1,1,3.6,3.5,1.75,23,4,5,5,4,2,3
"26",98757,1,18,1,1,1,2.8,3,3.5,18,3,3,4,2,3,3
"27",98772,1,18,1,1,1,3.2,3.5,3.125,19,5,3,3,1,4,3
"28",98776,1,18,1,1,1,4,4.5,4,15,3,2,2,3,2,3
"29",98777,1,18,1,1,1,4.4,4.25,2.875,18,4,4,3,2,2,3
"30",98793,1,17,0,1,1,4.6,6,4,18,3,4,5,1,2,3
